scenario,request_id,arrival_time_ms,prompt_len,output_len,client_ttft_ms,client_tpot_ms,client_e2e_ms,prefill_service_ms,post_prefill_to_first_byte_ms,decode_headers_ms,client_minus_proxy_first_byte_ms,absolute_prefill_complete_ms,absolute_decode_first_byte_ms,proxy_decode_duration_ms,internal_request_id,kv_receive_start_ms,kv_receive_complete_ms,prefill_complete_to_kv_receive_start_ms,kv_receive_duration_ms,kv_receive_complete_to_first_byte_ms,readiness_cohort_id,readiness_cohort_size
medium,req_3,400.0,1024,128,353.5471986979246,66.0547973353445,8744.59298234433,315.949,31.689999999999998,9.537,5.614198697924621,716.2429999999999,747.933,8388.494999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b837a8d7f8c448918049b584b73eb1eb,77.30159908533096,307.408913038671,-238.94140091466903,230.10731395334005,40.524086961328976,medium_cohort_3,1
medium,req_4,600.0,2048,64,735.9225582331419,91.12555507038321,6479.084826074541,692.904,35.5,10.341,7.012558233141931,1293.4099999999999,1328.9099999999999,5740.823,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_90cd11a45a0840258bc082a5fb4e1e14,180.41477166116238,679.8783531412482,-512.9952283388376,499.46358148008585,49.03164685875174,medium_cohort_4,1
medium,req_5,800.0,256,128,1258.1027820706367,56.8574206082253,8480.478938668966,1212.4660000000001,38.35799999999995,6.784,6.736782070636764,2013.008,2051.366,7220.955,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_31c229703065418788d6ca6f7d50f9c3,568.4926183894277,1197.310726158321,-644.5153816105724,628.8181077688932,54.05527384167908,medium_cohort_5,3
medium,req_6,1000.0,768,32,1057.1570452302694,128.93219343236376,5057.236110791564,1010.983,39.04100000000017,7.903,6.854045230269321,2011.262,2050.303,3996.923,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_0c40fa7412fe49efa12a6cd7c5291e8d,996.0183883085847,998.9004908129573,-15.243611691415254,2.8821025043725967,51.402509187042824,medium_cohort_5,3
medium,req_7,1200.0,1536,128,853.9114994928241,56.852091250457164,8075.16622915864,809.849,37.875999999999976,9.121,5.618499492824071,2010.417,2048.293,7220.473,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_272e714908274fe0ae0e3ef995ab5678,797.8356443345547,799.4730705395341,-12.581355665445358,1.6374262049794197,48.819929460465914,medium_cohort_5,3
medium,req_8,1400.0,384,64,1240.0631699711084,72.59043255850436,5815.549689345062,1194.971,36.134000000000015,7.188,8.681169971108375,2595.248,2631.382,4573.93,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1f47d42200224c4796fdbcc016b153ff,689.0871273353696,1180.329229682684,-506.16087266463046,491.24210234731436,51.05277031731612,medium_cohort_6,4
medium,req_9,1600.0,128,128,1041.5201811119914,52.78412016533961,7746.184502728283,995.958,35.87800000000004,6.27,9.414181111991411,2596.228,2632.1059999999998,6706.634,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_3ed402f7c9e248f5b55c5b8cb2c31dbe,981.166965328157,983.9946469292045,-15.061034671843004,2.827681601047516,48.11135307079553,medium_cohort_6,4
medium,req_10,1800.0,1024,32,841.1069652065635,112.69190087313613,4335.45136731118,795.049,36.218000000000075,8.32,9.232965206563449,2595.656,2631.874,3493.245,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_662105ca87aa4562a8b7826b725b7001,783.6131229996681,785.274913534522,-12.042877000331828,1.6617905348539352,46.59908646547797,medium_cohort_6,4
medium,req_11,2000.0,512,128,640.6798977404833,52.79681036674132,7346.572362817824,596.964,35.85799999999995,8.476,7.562897740483322,2597.259,2633.117,6707.474,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_101c7a3cc5944c228b29dc29574a725f,586.7085568606853,588.3384104818106,-10.550443139314666,1.6298536211252213,44.77858951818939,medium_cohort_6,4
medium,req_12,2200.0,2048,128,2093.0099049583077,40.29087852833309,7210.431628860533,1025.835,1059.4699999999998,10.517,7.414904958307943,3226.125,4285.594999999999,5119.044,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_f413a0626ba94872b1aa94df97d588a4,462.11173944175243,1010.8670517802238,-564.0132605582476,548.7553123384714,1074.727948219776,medium_cohort_7,3
medium,req_13,2400.0,256,64,1893.2568151503801,47.374534243274304,4879.061549901962,827.8810000000001,1058.348,7.659,6.751815150380025,3228.157,4286.505,2985.191,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_6da61988cfaf4b9e9d065ec280ec7b1a,813.42504452914,817.4815690144897,-14.731955470860044,4.056524485349655,1069.0234309855105,medium_cohort_7,3
medium,req_14,2600.0,1536,32,1692.4611683934927,61.771300050520125,3608.014142140746,1657.798,28.285000000000082,9.144,6.09616839349269,4258.08,4286.365,1914.604,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_39f421a28a8442fc804dac93d443e36c,616.0916918888688,1637.6055628061295,-1041.9883081111311,1021.5138709172606,48.75943719387055,medium_cohort_7,3
medium,req_15,2800.0,768,128,2264.6040823310614,34.732834531331626,6676.293641328812,1457.9430000000002,798.098,8.365,8.289082331061309,4258.217000000001,5056.3150000000005,4414.878000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_160119d67c674905841d371fd263f5b9,1519.8753252625465,1522.290637716651,61.65832526254644,2.4153124541044235,734.0243622833491,medium_cohort_8,6
medium,req_16,3000.0,384,32,2068.274394609034,39.027246676625744,3281.900010071695,1259.6299999999999,798.6520000000003,7.839,9.72439460903388,4259.898,5058.55,1213.346,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_9d9619d754f243a4b808a3e6539737cc,1324.250016361475,1325.9159419685602,64.35201636147508,1.665925607085228,732.63405803144,medium_cohort_8,6
medium,req_17,3200.0,1024,64,1868.0693311616778,36.15643116571601,4147.071808576584,1058.1470000000002,798.6399999999999,8.166,10.971331161677881,4258.4580000000005,5057.098,2281.3500000000004,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_cc289d89433a4c69ada639b6a60de5ef,1124.3700552731752,1125.9954208508134,65.91205527317516,1.6253655776381493,731.1025791491866,medium_cohort_8,6
medium,req_18,3400.0,128,64,1665.4722103849053,36.18700412057695,3947.313611395657,1620.7160000000001,35.080999999999904,7.421,9.268210384905387,5021.123,5056.204,2281.7430000000004,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b58b59a105604034a49a20ce79dc2104,926.2745762243867,1603.243007324636,-694.8484237756134,676.9684311002493,52.96099267536397,medium_cohort_8,6
medium,req_19,3600.0,2048,32,1459.7814995795488,39.21265662797997,2678.5791404545307,1417.638,35.019000000000005,10.938,6.643499579548916,5018.119,5053.138,1214.98,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_d71e4d678bc84fe9b587de36cc018af5,1400.6372140720487,1403.6292806267738,-17.48178592795125,2.99206655472517,49.508719373226086,medium_cohort_8,6
medium,req_20,3800.0,512,32,1266.8985538184643,38.96522966604079,2475.811906158924,1221.4309999999998,36.330000000000155,7.569,8.871553818464236,5021.697,5058.027,1212.2709999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_9d3322827e9a4f83aff3acb8f09b353e,1207.559390924871,1209.6377676352859,-14.137609075128921,2.0783767104148865,48.38923236471419,medium_cohort_8,6
saturated,req_1,0.0,2048,128,640.0480251759291,66.37818955882328,9071.25455327332,600.856,33.75300000000004,12.234,5.082025175929061,601.213,634.966,8430.109,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_020c475d5d2a4cd697ff9533072940ae,19.45928856730461,588.5713705793023,-581.7537114326954,569.1120820119977,46.3946294206977,saturated_cohort_1,1
saturated,req_2,50.0,128,32,3374.3127174675465,81.72204093106332,5909.672498703003,1679.473,1687.189,6.716,7.350717467546474,1729.773,3416.962,2533.984,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_fb990aa877334971b5254d35d39d94dc,625.2690833061934,1655.0217140465975,-1054.5039166938066,1029.7526307404041,1711.9402859534025,saturated_cohort_2,13
saturated,req_3,100.0,1024,64,3325.222112238407,56.77336939270534,6902.911324054003,1627.702,1688.687,7.93,8.477112238407244,1728.058,3416.745,3579.2129999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_48b42fcf71be44cea0bca514eb4ddbf3,1603.3287551254034,1606.5091574564576,-24.72924487459659,3.1804023310542107,1710.2358425435423,saturated_cohort_2,13
saturated,req_4,150.0,512,128,3274.703200906515,45.03879633064815,8995.47996930778,1576.916,1687.9620000000002,7.909,9.421200906514969,1727.32,3415.282,5723.22,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_8a2c159103c944d6b62dc5ee126a360a,1555.6703321635723,1557.377721183002,-21.649667836427625,1.7073890194296837,1707.9042788169982,saturated_cohort_2,13
