request_id,arrival_time_ms,prompt_len,output_len,actual_prompt_tokens,actual_output_tokens,repeat_count,request_start_ms_mean,ttft_ms_mean,ttft_ms_std,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p99,ttft_ms_max,tpot_ms_mean,tpot_ms_std,tpot_ms_min,tpot_ms_p50,tpot_ms_p90,tpot_ms_p99,tpot_ms_max,e2e_ms_mean,e2e_ms_std,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p99,e2e_ms_max
req_1,0.0,512,128,512,128,3,4.2866238703330355,233.16448057691255,5.630870274100774,227.33450029045343,231.3817534595728,238.89810107648373,240.5892792902887,240.77718798071146,58.94612620909774,0.19375503290572965,58.753183888872776,58.87409969870969,59.143695971510546,59.20435513289073,59.211095039710756,7720.885245129466,30.098826628524925,7690.387384034693,7710.41804458946,7751.563854329288,7760.821661520749,7761.850306764245
req_2,100.0,512,128,512,128,3,102.89481747895479,611.4842494328817,8.775485185449307,602.0852867513895,609.165302477777,620.3947877511382,622.9214219376445,623.2021590694785,55.807741627762006,0.17298429521449898,55.65334354182632,55.72060481681833,55.98354218307677,56.04270309048493,56.049276524641385,7701.403232291341,30.964322147044633,7671.181687153876,7689.069924876094,7732.980452850461,7742.860321644694,7743.958084844053
req_3,200.0,512,128,512,128,3,202.96354467670122,510.8736176043749,8.618173144938714,501.8435921519995,508.29967111349106,519.6420058608055,522.1940311789513,522.4775895476341,55.8166373276648,0.1827219048532085,55.64408421545752,55.7363305431534,56.002863888137455,56.06283389075887,56.06949722438347,7601.579656203588,31.55002842714455,7571.046994999051,7588.669331744313,7633.751979842782,7643.8955756649375,7645.022641867399
req_4,300.0,512,128,512,128,3,303.05352496604127,1096.8080473442872,353.1644127133778,843.0730868130922,851.1146856471896,1447.2120327875018,1581.333935894072,1596.2363695725799,51.007769730558074,2.5394629536443456,47.41672306930221,52.7633425053649,52.82726339467867,52.84164559477427,52.84324361700711,7576.433844864368,32.424442520999236,7544.92705501616,7563.334018923342,7609.499172307551,7619.886331818998,7621.040460653603
req_5,400.0,512,128,512,128,3,402.83550942937535,996.971020164589,354.03865574438066,743.2211339473724,750.0501619651914,1348.123444058001,1482.6899325288832,1497.6417645812035,51.005709950575046,2.5334528667699185,47.4231863966373,52.755512333819716,52.82184736377846,52.83677274551918,52.838431121268144,7476.624988640348,32.43208194309816,7445.57198882103,7462.918915785849,7509.691032208502,7520.214758403599,7521.384061314166
req_6,500.0,512,128,512,128,3,502.96899676322937,895.210954050223,354.0026905915361,642.1879036352038,647.6083798334002,1246.190938912332,1380.8720147050917,1395.836578682065,51.01235266872669,2.5491478263373875,47.4079557672495,52.75560883203829,52.84991649192149,52.87113571539521,52.873493406892294,7375.180738667647,31.724191227919498,7343.577110208571,7363.404582254589,7407.529335282743,7417.457404714078,7418.560523539782
req_7,600.0,512,128,512,128,3,602.6929502064983,796.4651752263308,353.7713803474534,541.957856155932,550.689609721303,1147.5363697856665,1281.8268908001482,1296.7480598017573,51.004680059361334,2.5352347320930924,47.41961120327157,52.75741884646219,52.82109187197263,52.835418302712476,52.83701012835024,7276.278886012733,32.85589647836644,7244.294322095811,7263.082032091916,7309.784649498761,7320.292738415301,7321.460303850472
req_8,700.0,512,128,512,128,3,702.7462500457963,1078.777985026439,82.47549920371418,1017.7658731117845,1023.1942413374782,1160.9379207715392,1191.930248644203,1195.3738406300545,48.14323001929859,0.52608232571173,47.40092319649035,48.4710318938367,48.540394352822325,48.556000906094084,48.55773496756873,7193.745856483777,16.748407421142748,7175.093836151063,7190.4290691018105,7210.657545179129,7215.208952296525,7215.714664198458
req_9,800.0,512,128,512,128,3,802.9216037442287,1901.5037873759866,159.85694501122038,1785.6985926628113,1791.2599248811603,2060.2942606434226,2120.8269861899316,2127.552844583988,41.208417103515835,1.012705794866225,39.778386968679314,41.855462320794274,41.964214081017985,41.98868322706832,41.99140202107392,7136.280917872985,32.55915846035589,7102.662893943489,7125.840717926621,7169.439456984401,7179.249173272401,7180.339141748846
req_10,900.0,512,128,512,128,3,902.2547720621029,1801.6616897657514,160.7242356511395,1687.1602712199092,1688.866849988699,1960.9397284686565,2022.156126126647,2028.957948088646,41.2102111852349,1.0047439404132408,39.79132750518913,41.853756093838086,41.95919118410959,41.98291407942068,41.98554995667747,7036.755098961294,34.67630250758254,7003.3649345859885,7022.345653735101,7072.112897597253,7083.3105274662375,7084.554708562791
