batch_id,stage,replica_id,tp_size,start_time_ms,end_time_ms,batch_size,query_tokens,prefill_tokens,decode_count,compute_ms,communication_ms,iteration_overhead_ms,estimated_time_ms,kv_blocks_used,kv_blocks_total,kv_block_utilization,extrapolated
decode_r0_batch_36,decode,0,4,1193.8147,1223.1668333333332,1,1,0,1,24.3627,1.6561,3.3333333333333335,29.35213333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_37,decode,0,4,1223.1668333333332,1252.5184666666667,1,1,0,1,24.3623,1.656,3.3333333333333335,29.351633333333332,35,22136,0.0015811348030357788,True
decode_r0_batch_38,decode,0,4,1252.5184666666667,1281.8696,1,1,0,1,24.362,1.6558,3.3333333333333335,29.351133333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_39,decode,0,4,1281.8696,1311.2202333333332,1,1,0,1,24.3616,1.6557,3.3333333333333335,29.35063333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_40,decode,0,4,1311.2202333333332,1340.5703666666666,1,1,0,1,24.3613,1.6555,3.3333333333333335,29.350133333333332,35,22136,0.0015811348030357788,True
decode_r0_batch_41,decode,0,4,1340.5703666666666,1369.9199999999998,1,1,0,1,24.361,1.6554,3.3333333333333335,29.349633333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_42,decode,0,4,1369.9199999999998,1399.2691333333332,1,1,0,1,24.3606,1.6552,3.3333333333333335,29.34913333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_43,decode,0,4,1399.2691333333332,1428.6177666666665,1,1,0,1,24.3603,1.655,3.3333333333333335,29.348633333333332,35,22136,0.0015811348030357788,True
decode_r0_batch_44,decode,0,4,1428.6177666666665,1457.9659,1,1,0,1,24.3599,1.6549,3.3333333333333335,29.348133333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_45,decode,0,4,1457.9659,1487.3135333333332,1,1,0,1,24.3596,1.6547,3.3333333333333335,29.34763333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_46,decode,0,4,1487.3135333333332,1516.6607666666666,1,1,0,1,24.3593,1.6546,3.3333333333333335,29.34723333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_47,decode,0,4,1516.6607666666666,1546.0075,1,1,0,1,24.3589,1.6544,3.3333333333333335,29.346733333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_48,decode,0,4,1546.0075,1575.3537333333334,1,1,0,1,24.3586,1.6543,3.3333333333333335,29.34623333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_49,decode,0,4,1575.3537333333334,1604.6994666666667,1,1,0,1,24.3583,1.6541,3.3333333333333335,29.34573333333333,35,22136,0.0015811348030357788,True
decode_r0_batch_50,decode,0,4,1604.6994666666667,1634.0447,1,1,0,1,24.3579,1.654,3.3333333333333335,29.345233333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_51,decode,0,4,1634.0447,1663.3894333333333,1,1,0,1,24.3576,1.6538,3.3333333333333335,29.34473333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_52,decode,0,4,1663.3894333333333,1692.7336666666665,1,1,0,1,24.3573,1.6537,3.3333333333333335,29.34423333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_53,decode,0,4,1692.7336666666665,1722.0774,1,1,0,1,24.3569,1.6535,3.3333333333333335,29.343733333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_54,decode,0,4,1722.0774,1751.4207333333331,1,1,0,1,24.3566,1.6534,3.3333333333333335,29.343333333333334,36,22136,0.0016263100831225153,True
decode_r0_batch_55,decode,0,4,1751.4207333333331,1780.7635666666665,1,1,0,1,24.3563,1.6532,3.3333333333333335,29.34283333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_56,decode,0,4,1780.7635666666665,1810.1058999999998,1,1,0,1,24.3559,1.6531,3.3333333333333335,29.342333333333332,36,22136,0.0016263100831225153,True
decode_r0_batch_57,decode,0,4,1810.1058999999998,1839.4477333333332,1,1,0,1,24.3556,1.6529,3.3333333333333335,29.341833333333334,36,22136,0.0016263100831225153,True
decode_r0_batch_58,decode,0,4,1839.4477333333332,1868.7890666666665,1,1,0,1,24.3553,1.6528,3.3333333333333335,29.34133333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_59,decode,0,4,1868.7890666666665,1898.1299,1,1,0,1,24.3549,1.6526,3.3333333333333335,29.340833333333332,36,22136,0.0016263100831225153,True
decode_r0_batch_60,decode,0,4,1898.1299,1927.4703333333332,1,1,0,1,24.3546,1.6525,3.3333333333333335,29.340433333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_61,decode,0,4,1927.4703333333332,1956.8102666666666,1,1,0,1,24.3543,1.6523,3.3333333333333335,29.33993333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_62,decode,0,4,1956.8102666666666,1986.1497,1,1,0,1,24.3539,1.6522,3.3333333333333335,29.339433333333332,36,22136,0.0016263100831225153,True
decode_r0_batch_63,decode,0,4,1986.1497,2015.4886333333334,1,1,0,1,24.3536,1.652,3.3333333333333335,29.338933333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_64,decode,0,4,2015.4886333333334,2044.8270666666667,1,1,0,1,24.3533,1.6519,3.3333333333333335,29.33843333333333,36,22136,0.0016263100831225153,True
decode_r0_batch_65,decode,0,4,2044.8270666666667,2074.1651,1,1,0,1,24.353,1.6517,3.3333333333333335,29.338033333333332,36,22136,0.0016263100831225153,True
decode_r0_batch_66,decode,0,4,2074.1651,2103.5026333333335,1,1,0,1,24.3526,1.6516,3.3333333333333335,29.337533333333333,37,22136,0.0016714853632092519,True
decode_r0_batch_67,decode,0,4,2103.5026333333335,2132.8396666666667,1,1,0,1,24.3523,1.6514,3.3333333333333335,29.33703333333333,37,22136,0.0016714853632092519,True
decode_r0_batch_68,decode,0,4,2132.8396666666667,2162.1762,1,1,0,1,24.352,1.6513,3.3333333333333335,29.336533333333332,37,22136,0.0016714853632092519,True
prefill_r0_batch_2,prefill,0,4,2137.0314464404696,2292.861579773803,1,512,512,0,88.4224,64.0744,3.3333333333333335,155.83013333333335,32,22136,0.0014456089627755693,False
decode_r0_batch_69,decode,0,4,2162.1762,2191.512333333333,1,1,0,1,24.3516,1.6511,3.3333333333333335,29.336133333333333,37,22136,0.0016714853632092519,True
decode_r0_batch_70,decode,0,4,2191.512333333333,2220.8479666666663,1,1,0,1,24.3513,1.651,3.3333333333333335,29.335633333333334,37,22136,0.0016714853632092519,True
decode_r0_batch_71,decode,0,4,2220.8479666666663,2250.1830999999997,1,1,0,1,24.351,1.6508,3.3333333333333335,29.33513333333333,37,22136,0.0016714853632092519,True
decode_r0_batch_72,decode,0,4,2250.1830999999997,2279.517733333333,1,1,0,1,24.3507,1.6507,3.3333333333333335,29.334633333333333,37,22136,0.0016714853632092519,True
decode_r0_batch_73,decode,0,4,2279.517733333333,2308.8519666666666,1,1,0,1,24.3503,1.6505,3.3333333333333335,29.334233333333334,37,22136,0.0016714853632092519,True
decode_r0_batch_74,decode,0,4,2308.8519666666666,2333.9261,2,2,0,2,19.5658,2.175,3.3333333333333335,25.074133333333332,69,22136,0.003117094325984821,False
decode_r0_batch_75,decode,0,4,2333.9261,2359.0012333333334,2,2,0,2,19.5672,2.1746,3.3333333333333335,25.075133333333333,70,22136,0.0031622696060715576,False
decode_r0_batch_76,decode,0,4,2359.0012333333334,2384.0763666666667,2,2,0,2,19.5672,2.1746,3.3333333333333335,25.075133333333333,70,22136,0.0031622696060715576,False
decode_r0_batch_77,decode,0,4,2384.0763666666667,2409.1525,2,2,0,2,19.5687,2.1741,3.3333333333333335,25.07613333333333,70,22136,0.0031622696060715576,False
decode_r0_batch_78,decode,0,4,2409.1525,2434.2286333333336,2,2,0,2,19.5687,2.1741,3.3333333333333335,25.07613333333333,70,22136,0.0031622696060715576,False
prefill_r0_batch_3,prefill,0,4,2429.3919471195154,2585.222080452849,1,512,512,0,88.4224,64.0744,3.3333333333333335,155.83013333333335,32,22136,0.0014456089627755693,False
decode_r0_batch_79,decode,0,4,2434.2286333333336,2459.305766666667,2,2,0,2,19.5701,2.1737,3.3333333333333335,25.077133333333332,70,22136,0.0031622696060715576,False
decode_r0_batch_80,decode,0,4,2459.305766666667,2484.3829,2,2,0,2,19.5701,2.1737,3.3333333333333335,25.077133333333332,70,22136,0.0031622696060715576,False
decode_r0_batch_81,decode,0,4,2484.3829,2509.4610333333335,2,2,0,2,19.5715,2.1733,3.3333333333333335,25.078133333333334,70,22136,0.0031622696060715576,False
decode_r0_batch_82,decode,0,4,2509.4610333333335,2534.539166666667,2,2,0,2,19.5715,2.1733,3.3333333333333335,25.078133333333334,71,22136,0.003207444886158294,False
decode_r0_batch_83,decode,0,4,2534.539166666667,2559.6183,2,2,0,2,19.5729,2.1729,3.3333333333333335,25.07913333333333,71,22136,0.003207444886158294,False
decode_r0_batch_84,decode,0,4,2559.6183,2584.6974333333333,2,2,0,2,19.5729,2.1729,3.3333333333333335,25.07913333333333,71,22136,0.003207444886158294,False
decode_r0_batch_85,decode,0,4,2584.6974333333333,2609.7775666666666,2,2,0,2,19.5743,2.1725,3.3333333333333335,25.080133333333333,71,22136,0.003207444886158294,False
prefill_r0_batch_4,prefill,0,4,2608.1664790077793,2763.9966123411127,1,512,512,0,88.4224,64.0744,3.3333333333333335,155.83013333333335,32,22136,0.0014456089627755693,False
decode_r0_batch_86,decode,0,4,2609.7775666666666,2634.4791999999998,3,3,0,3,19.4019,1.9664,3.3333333333333335,24.701633333333334,103,22136,0.004653053848933863,False
decode_r0_batch_87,decode,0,4,2634.4791999999998,2659.1846333333333,3,3,0,3,19.4058,1.9663,3.3333333333333335,24.705433333333332,104,22136,0.0046982291290206,False
decode_r0_batch_88,decode,0,4,2659.1846333333333,2683.8937666666666,3,3,0,3,19.4098,1.9661,3.3333333333333335,24.709133333333334,104,22136,0.0046982291290206,False
decode_r0_batch_89,decode,0,4,2683.8937666666666,2708.6067,3,3,0,3,19.4137,1.9659,3.3333333333333335,24.712933333333332,104,22136,0.0046982291290206,False
decode_r0_batch_90,decode,0,4,2708.6067,2733.3233333333333,3,3,0,3,19.4176,1.9657,3.3333333333333335,24.71663333333333,104,22136,0.0046982291290206,False
decode_r0_batch_91,decode,0,4,2733.3233333333333,2758.0436666666665,3,3,0,3,19.4215,1.9655,3.3333333333333335,24.720333333333333,105,22136,0.004743404409107336,False
decode_r0_batch_92,decode,0,4,2758.0436666666665,2782.7677,3,3,0,3,19.4254,1.9653,3.3333333333333335,24.72403333333333,105,22136,0.004743404409107336,False
decode_r0_batch_93,decode,0,4,2782.7677,2807.1486333333332,4,4,0,4,19.2372,1.8104,3.3333333333333335,24.38093333333333,137,22136,0.006189013371882906,False
decode_r0_batch_94,decode,0,4,2807.1486333333332,2831.5295666666666,4,4,0,4,19.2372,1.8104,3.3333333333333335,24.38093333333333,138,22136,0.006234188651969642,False
decode_r0_batch_95,decode,0,4,2831.5295666666666,2855.9222,4,4,0,4,19.2492,1.8101,3.3333333333333335,24.392633333333333,138,22136,0.006234188651969642,False
decode_r0_batch_96,decode,0,4,2855.9222,2880.3148333333334,4,4,0,4,19.2492,1.8101,3.3333333333333335,24.392633333333333,138,22136,0.006234188651969642,False
decode_r0_batch_97,decode,0,4,2880.3148333333334,2904.718966666667,4,4,0,4,19.2611,1.8097,3.3333333333333335,24.40413333333333,138,22136,0.006234188651969642,False
decode_r0_batch_98,decode,0,4,2904.718966666667,2929.1231000000002,4,4,0,4,19.2611,1.8097,3.3333333333333335,24.40413333333333,139,22136,0.006279363932056379,False
decode_r0_batch_99,decode,0,4,2929.1231000000002,2953.5388333333335,4,4,0,4,19.273,1.8094,3.3333333333333335,24.415733333333332,139,22136,0.006279363932056379,False
decode_r0_batch_100,decode,0,4,2953.5388333333335,2977.954566666667,4,4,0,4,19.273,1.8094,3.3333333333333335,24.415733333333332,139,22136,0.006279363932056379,False
decode_r0_batch_101,decode,0,4,2977.954566666667,3002.3817,4,4,0,4,19.2848,1.809,3.3333333333333335,24.427133333333334,139,22136,0.006279363932056379,False
decode_r0_batch_102,decode,0,4,3002.3817,3026.808833333333,4,4,0,4,19.2848,1.809,3.3333333333333335,24.427133333333334,139,22136,0.006279363932056379,False
decode_r0_batch_103,decode,0,4,3026.808833333333,3051.2474666666662,4,4,0,4,19.2966,1.8087,3.3333333333333335,24.438633333333332,140,22136,0.006324539212143115,False
decode_r0_batch_104,decode,0,4,3051.2474666666662,3075.6860999999994,4,4,0,4,19.2966,1.8087,3.3333333333333335,24.438633333333332,140,22136,0.006324539212143115,False
