request_id,source_replica_id,lane_id,mode,size_mb,queued_time_ms,start_time_ms,end_time_ms,duration_ms
req_1,0,0,pcie,128.0,0.0,155.83013333333335,166.17013333333335,10.34
req_2,0,0,pcie,128.0,0.0,2292.861579773803,2303.201579773803,10.34
req_3,0,0,pcie,128.0,0.0,2585.222080452849,2595.562080452849,10.34
req_4,0,0,pcie,128.0,0.0,2763.9966123411127,2774.336612341113,10.34
req_5,0,0,pcie,128.0,0.0,3896.9526974397027,3907.292697439703,10.34
req_6,0,0,pcie,128.0,0.0,5157.48114228113,5167.82114228113,10.34
req_7,0,0,pcie,128.0,0.0,5994.443864653464,6004.783864653464,10.34
req_8,0,0,pcie,128.0,0.0,7744.920659312494,7755.260659312494,10.34
req_9,0,0,pcie,128.0,0.0,7900.750792645827,7911.090792645827,10.34
req_10,0,0,pcie,128.0,0.0,8056.5809259791595,8066.92092597916,10.34
req_11,0,0,pcie,128.0,0.0,8212.411059312493,8222.751059312493,10.34
req_12,0,0,pcie,128.0,0.0,9371.337109151,9381.677109151,10.34
req_13,0,0,pcie,128.0,0.0,10941.855886162857,10952.195886162857,10.34
req_14,0,0,pcie,128.0,0.0,11395.367288437628,11405.707288437628,10.34
req_15,0,0,pcie,128.0,0.0,11551.197421770961,11561.537421770961,10.34
req_16,0,0,pcie,128.0,0.0,12848.700922424789,12859.040922424789,10.34
req_17,0,0,pcie,128.0,0.0,13138.963761977415,13149.303761977415,10.34
req_18,0,0,pcie,128.0,0.0,13294.793895310748,13305.133895310748,10.34
req_19,0,0,pcie,128.0,0.0,13613.084409757375,13623.424409757376,10.34
req_20,0,0,pcie,128.0,0.0,13863.67889132461,13874.01889132461,10.34
req_21,0,0,pcie,128.0,0.0,14438.3062130318,14448.6462130318,10.34
req_22,0,0,pcie,128.0,0.0,15996.496035446298,16006.836035446298,10.34
req_23,0,0,pcie,128.0,0.0,17114.04923638905,17124.38923638905,10.34
req_24,0,0,pcie,128.0,0.0,19632.041835629974,19642.381835629974,10.34
req_25,0,0,pcie,128.0,0.0,20580.367449550915,20590.707449550915,10.34
req_26,0,0,pcie,128.0,0.0,21417.085384946153,21427.425384946153,10.34
req_27,0,0,pcie,128.0,0.0,21602.891940669197,21613.231940669197,10.34
req_28,0,0,pcie,128.0,0.0,22612.455021712954,22622.795021712955,10.34
req_29,0,0,pcie,128.0,0.0,23516.955944220343,23527.295944220343,10.34
req_30,0,0,pcie,128.0,0.0,27322.36880310608,27332.70880310608,10.34
req_31,0,0,pcie,128.0,0.0,27478.198936439414,27488.538936439414,10.34
