scenario,cohort_id,size,request_ids,first_token_min_ms,first_token_max_ms,first_token_spread_ms,earliest_prefill_complete_ms,latest_prefill_complete_ms,max_post_prefill_wait_ms
p2p_smoke_v2,p2p_smoke_v2_cohort_1,1,req_1,129.274,129.274,0.0,91.969,91.969,37.30500000000001
p2p_smoke_v2,p2p_smoke_v2_cohort_2,1,req_2,1227.844,1227.844,0.0,1190.405,1190.405,37.43899999999999
