config_id,prefill_gpus,prefill_tp,decode_gpus,decode_tp,prefill_num_gpu_blocks,decode_num_gpu_blocks,block_size_tokens,prefill_max_num_batched_tokens,prefill_max_num_seqs,decode_max_num_batched_tokens,decode_max_num_seqs,chunked_prefill,kv_transfer_mode,kv_transfer_bw_gb_s,kv_transfer_latency_ms,kv_transfer_concurrency,prefill_replicas,decode_replicas,total_gpus,arrival_rate_rps,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,goodput_tokens_per_s_per_gpu,prefill_utilization,decode_utilization,transfer_utilization,prefill_peak_kv_utilization,decode_peak_kv_utilization,transfer_queue_mean_ms,transfer_queue_p99_ms,prefill_batch_size_mean,prefill_batch_size_p95,prefill_batch_size_max,decode_batch_size_mean,decode_batch_size_p95,decode_batch_size_max,prefill_replica_utilization_min,prefill_replica_utilization_max,decode_replica_utilization_min,decode_replica_utilization_max,prefill_extrapolated_batch_ratio,decode_extrapolated_batch_ratio,estimated_bottleneck
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,1.0,True,1.0,1.0,1.0,205.21783798678612,363.0823726753115,24.852676246719227,27.151625994750805,3679.4240625335133,123.49390491781928,123.49390491781928,15.43673811472741,0.1501692467610267,0.9660024561632298,0.009975992006642556,0.0043368268883267076,0.02100650524033249,0.06893333333331005,3.4466666666655024,1.0067511840080265,1.0,2.0,3.2483959198604686,6.333333333333333,13.0,0.14738273388701256,0.1540729729790371,0.9350599659913751,0.9835070548652128,0.0,0.11681443171047257,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,2.0,True,1.0,1.0,0.9633333333333333,209.44413744013823,619.6087887235,25.431636482939776,28.681228737532894,4228.215648960162,242.91071743799992,233.95256522359475,29.244070652949343,0.2934740550392864,0.9984232614724701,0.019622631393038367,0.010119262739428984,0.02841525117455728,0.6548666666665365,17.23333333332995,1.052766758495638,1.0,4.0,6.195285485368557,11.0,17.0,0.28871574876836154,0.3012696883746435,0.9983807226988576,0.9984520630820303,0.0,0.012771121423705655,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,3.0,True,1.0,1.0,0.935,214.62576198960005,791.0302810374392,27.32474540682416,31.239768223096874,4710.055709277659,358.0345118133317,334.75025752262883,41.843782190328604,0.42984220086196884,0.9976759905247675,0.02892247540742061,0.013010480664980123,0.041696783520057824,1.2752666666665144,24.16113333332879,1.101013336180283,2.0,6.0,9.689620923681316,16.283333333333303,25.0,0.4214473120241251,0.44158151973283344,0.9976173998037954,0.9977169804551722,0.0,0.008939035564196925,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,3.5,True,1.0,1.0,0.9,221.31059071191657,914.4205281545974,28.513019816272863,32.575450430446246,4953.9896238729025,413.8193583035506,372.5621333829303,46.57026667286629,0.4940063356311488,0.997313889924015,0.03342884503795857,0.014456089627755691,0.04869895193350199,1.8956666666665292,27.607799999997955,1.1502172563625077,2.0,7.0,11.63154041669184,18.666666666666668,29.0,0.48551199327574035,0.5074564480583809,0.9972502913629222,0.9973596956832951,0.0,0.009539316201398121,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,3.75,False,1.0,1.0,0.88,226.27070693388046,934.632877702284,29.146216666666664,33.269592259842476,5062.963797752522,441.1874894060938,388.3604232780026,48.545052909750325,0.5250311591209238,0.9971362428148591,0.0356396768785859,0.01590169859053126,0.05037043729671124,2.3092666666665043,27.607800000000356,1.1790668726859022,2.0,7.0,12.6523182720721,20.333333333333332,30.0,0.5166321555048975,0.5373123534221217,0.9970694636821094,0.9971844333014992,0.0,0.01003927623680899,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,4.0,False,1.0,1.0,0.855,242.6617405108402,970.1153761260049,29.757411023621994,33.97070767978997,5162.890640551704,468.2896417236962,400.49091358251695,50.06136419781462,0.5556023249511265,0.9969603221795372,0.03782902262049221,0.01734730755330683,0.052132273220093964,2.567766666666557,27.607800000000356,1.2077294685990339,2.3333333333333335,7.0,13.708514623583211,21.666666666666668,31.0,0.5469248700942729,0.5687277030279042,0.9968914507785871,0.9970103040465147,0.0,0.010342566912003965,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,6.0,False,1.0,1.0,0.4583333333333333,578.9700214045262,1984.9814190201052,36.12655118110237,37.70061916010494,6754.538493547315,670.556650027719,307.10683287374854,38.38835410921857,0.767973539044486,0.9956474028147397,0.054168404385051494,0.023129743404409108,0.05411998554391037,8.857933333333394,55.18113333333408,1.7712591716386783,4.383333333333326,8.0,22.824776959511485,32.0,32.0,0.7594936571665045,0.783051748936055,0.9955801253688793,0.9957186330385651,0.0,0.014504367167096494,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,8.0,False,1.0,1.0,0.043333333333333335,3235.8484799903763,5501.363402242177,37.80201102362221,37.840189561679985,9941.412433503074,739.1739165221055,31.894229687181717,3.9867787108977146,0.8013105394871558,0.9952020067083982,0.05971139294405114,0.023129743404409108,0.05411998554391037,31.69210000000044,72.38000000000102,5.820723657535802,8.0,8.0,26.183657529661176,32.0,32.0,0.788952785372086,0.807531183429065,0.9951602054119367,0.9952833579233356,0.0,0.011878933644098965,decode_compute
p4tp4r1_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,1,8,12.0,False,1.0,1.0,0.011666666666666667,7133.86070401654,13449.772490899304,37.82150367454091,37.826481627296836,17520.33714174194,745.097183622247,8.686833748531834,1.0858542185664792,0.8031123986193677,0.9951635586582498,0.06018988186448445,0.023129743404409108,0.05384893386338995,34.311566666667126,72.38000000000102,6.984126984126984,8.0,8.0,26.48302887079936,32.0,32.0,0.7994802219693323,0.8054692194544373,0.9951486827974926,0.9951867967480459,0.0,0.011358424916166314,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,1.0,True,1.0,1.0,1.0,197.49044566517964,364.05344523933917,25.271042125984167,29.338466404199693,3921.540135164654,123.27160131016905,123.27160131016905,10.272633442514087,0.14989895135467232,0.8763189704252298,0.00995803404333706,0.0043368268883267076,0.011926273942898446,0.06893333333331005,3.4466666666655024,1.0067511840080265,1.0,2.0,1.89411506833654,4.0,7.0,0.14718258775608098,0.15374265394100836,0.8039705597662216,0.9233817418828397,0.0,0.447737668629339,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,2.0,True,1.0,1.0,0.9633333333333333,201.7397680603483,612.9718094841566,24.895101968503933,28.13692950393718,3892.767799807378,242.53130960598529,233.58671725306786,19.465559771088987,0.29301625338091025,0.9716281583439917,0.019591982354108434,0.010119262739428984,0.01707625587278641,0.6548666666665365,17.23333333332995,1.052766758495638,1.0,4.0,3.196715999710209,6.0,10.0,0.28851408814207385,0.30145301230169647,0.9501338638715483,0.9906409879756113,0.0,0.16255158551733365,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.0,True,1.0,1.0,0.9333333333333332,204.66997348506325,780.1564098514868,25.092808792650903,27.494501889763736,4145.431481620067,358.1188993756591,334.24225445366193,27.85352120447183,0.4299442148831581,0.979585429708997,0.02892929234018986,0.013010480664980123,0.021458258041199857,1.2752666666665144,24.16113333332879,1.101013336180283,2.0,6.0,4.633479714135742,8.333333333333334,13.0,0.4210451397670487,0.4422369294174207,0.9496093722591559,0.9976138634709252,0.0,0.06967424071824724,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.5,True,1.0,1.0,0.9033333333333333,209.57648008712172,901.2960356433199,25.266891207349044,27.04499040157482,4242.155679736924,414.50963412757824,374.5577109912004,31.21314258260003,0.49483184602459646,0.985046559649149,0.03348460638186832,0.014456089627755691,0.023129743404409108,1.8956666666665292,27.607799999997955,1.1502172563625077,2.0,7.0,5.321974455386427,9.333333333333334,14.0,0.4863976476908816,0.5089116100579583,0.9657977456039812,0.9973309422501411,0.0,0.026795899190879418,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.75,False,1.0,1.0,0.8833333333333333,213.04764601224633,926.7238626835336,25.366670209973773,28.21313507086609,4486.369598913931,442.3247688676383,390.8603279728011,32.571693997733426,0.5263849372525302,0.9880173544441863,0.03573154773508879,0.01590169859053126,0.030222262378026745,2.3092666666665043,27.607800000000356,1.1790668726859022,2.0,7.0,5.697320359337205,10.666666666666666,18.0,0.5184476128368447,0.5389622253111467,0.9777300262453239,0.9971515776213326,0.0,0.029344866970848604,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,4.0,False,1.0,1.0,0.8616666666666667,234.03784526704644,954.999962008585,25.47156102362204,28.26717268503947,4409.321483735869,469.9729519781852,405.110667316822,33.759222276401836,0.5576006128924135,0.9875512455302214,0.03796500252698765,0.01734730755330683,0.028324900614383808,2.567766666666557,27.607800000000356,1.2077294685990339,2.3333333333333335,7.0,6.077596714324069,10.333333333333334,17.0,0.548910444942337,0.57198197449248,0.9762272452629958,0.9941590487680976,0.0,0.03170142738022911,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,6.0,False,1.0,1.0,0.535,481.14333091845975,1967.763321236327,27.44059724409445,30.35987815748035,5625.062668297968,678.6429213527101,362.91401065386043,30.242834221155036,0.7772474290822414,0.9840582034656175,0.054821623490523434,0.023129743404409108,0.0352367184676545,8.857933333333394,55.18113333333408,1.7712591716386783,4.383333333333326,8.0,9.285051473140106,15.0,21.0,0.7674562935758316,0.7966515830857989,0.94918498574247,0.9956076352174946,0.0,0.021706811193753242,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,8.0,False,1.0,1.0,0.04666666666666667,2415.470442584897,3816.6376892592616,28.888855511811034,30.984483937007862,7538.457906741852,807.7834068905353,37.57159685927359,3.130966404939466,0.8756897569739839,0.9868330492004446,0.06525375333787584,0.023129743404409108,0.04029634983736899,31.69210000000044,72.38000000000102,5.820723657535802,8.0,8.0,11.495557998713055,18.333333333333332,24.0,0.8647834956848179,0.8825114449928072,0.9737853368259253,0.9948300148011668,0.0,0.02359313910641403,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,12.0,False,1.0,1.0,0.011666666666666667,6263.707078080875,10989.937237995922,29.228915223097204,32.075443737532844,14567.50960994068,820.1806196355606,9.57015629137004,0.7975130242808367,0.8840427544431012,0.9853480175448976,0.0662552156799349,0.023129743404409108,0.03894109143476689,34.311566666667126,72.38000000000102,6.984126984126984,8.0,8.0,11.743401886898956,19.666666666666668,23.0,0.8825906682649747,0.8851869507408637,0.9645183100160934,0.9946841826002658,0.0,0.017282293790216643,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,1.0,True,1.0,1.0,1.0,202.942529347916,218.80284193161205,24.853080183727116,27.147656866141915,3645.0453181242715,123.5096314734966,123.5096314734966,10.29246928945805,0.07518172789244452,0.965816046259805,0.009977262417468364,0.0028912179255511385,0.02100650524033249,0.023577948042438946,0.20923159199907007,1.0,1.0,1.0,3.249974579362552,6.333333333333333,13.0,0.01696437725760049,0.13130777182624137,0.9345578490869308,0.9836447606792148,0.0,0.11763654980062842,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,2.0,True,1.0,1.0,1.0,203.92174356504287,295.47711736070465,25.4295685039372,28.63985974803157,3856.0696187151057,243.0110897539033,243.0110897539033,20.250924146158606,0.14775149103739924,0.9984226099536766,0.019630739594182434,0.0043368268883267076,0.030222262378026745,0.12252402612072728,5.5418068777645475,1.0067511840080265,1.0,2.0,6.198817894620341,11.0,18.0,0.0522490795791797,0.24372173786207604,0.9983805650513493,0.998452332475666,0.0,0.01261157383491543,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,4.0,True,1.0,1.0,0.9899999999999999,212.6168165770181,500.61593853544537,29.830608792650846,33.970423755905564,4723.78826867932,469.01213540809096,464.28027598407147,38.690022998672625,0.2841921656776174,0.99695563245798,0.03788738656343472,0.005782435851102277,0.052809902421395015,0.4223238634444533,10.340000000000146,1.0292018094562219,1.0,3.0,13.725884991165733,21.666666666666668,32.0,0.17056906109665948,0.40375257325217145,0.9968854590981865,0.9970098169942827,0.0,0.008029836495980954,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,5.0,True,1.0,1.0,0.9716666666666667,215.8074752723211,738.3572052720997,32.8406034120735,36.305474433070856,5259.188152904483,574.4943569720593,558.2392691590767,46.519939096589724,0.3473930507524851,0.9962709451602619,0.046408372274149005,0.007228044813877846,0.05389410914347669,0.703936052442654,13.78666666666686,1.0454747629840853,1.0,4.0,18.238821226277718,27.333333333333332,32.0,0.23310835034733451,0.45479113313347874,0.9961958542496989,0.9963352030595118,0.0,0.008539288682601594,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,5.5,True,1.0,1.0,0.9316666666666666,222.24101168539573,899.1624093481058,34.44736968503947,37.09140570603668,5507.829731575331,625.1153909742108,582.5070913236094,48.54225761030079,0.3774043640182665,0.9959423629739493,0.05049760267713529,0.011564871702204554,0.05389410914347669,0.8816093225779397,13.821133333333497,1.058762007921123,1.3333333333333333,5.0,20.632572274226813,30.333333333333332,32.0,0.26488445603022515,0.4824035659731715,0.9958676433324785,0.9960120233204524,0.0,0.008594441950181277,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,5.75,True,1.0,1.0,0.9133333333333332,224.75974252445212,1067.801891168656,35.22473097112863,37.39297523097107,5702.012800498873,650.0736282438933,593.8870084345189,49.4905840362099,0.3923592641767098,0.9957803585358683,0.05251376028157683,0.011564871702204554,0.0540296349837369,0.9417623088766991,13.848890338070769,1.0607636492670267,1.3333333333333333,5.0,21.834184970397217,31.333333333333332,32.0,0.2833196890096101,0.4934882874568268,0.9957036633774909,0.995851610760556,0.0,0.00823832055504131,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,6.0,False,1.0,1.0,0.8850000000000001,224.85057729671158,1225.4821922554647,35.933112729658724,37.58522142519687,5926.1867052554735,674.3903041406323,596.9353998662822,49.744616655523515,0.4067383395846222,0.9956225184860251,0.05447809175636028,0.010119262739428984,0.05430068666425732,1.0044265041506135,13.845762676661556,1.0644571957179902,1.5333333333333314,5.0,23.017747166497557,32.0,32.0,0.3052110684251403,0.5076268813004102,0.9955441933655101,0.9956981262633608,0.0,0.008978755981605501,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,8.0,False,1.0,1.0,0.21,2336.1532443405517,4606.067159310539,37.82232257217854,37.827127034120906,9155.091594156767,760.8497058555959,159.96696840141314,13.330580700117762,0.4548981128089748,0.9950613087082556,0.06146239030114716,0.011564871702204554,0.05430068666425732,2.06986470048793,24.16113333333364,1.1414486313449632,2.0,5.0,27.32398205477844,32.0,32.0,0.38829459480694317,0.5287798496162394,0.9950312471123773,0.9950985237573808,0.0,0.01073096983690701,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,1,12,12.0,False,1.0,1.0,0.12333333333333334,6296.474993329789,12359.09041696774,37.81562414698168,37.822312598425285,16414.698697894793,768.7739102171067,94.80291775020635,7.900243145850529,0.44408241198449483,0.9950098725326576,0.06210251743472544,0.01734730755330683,0.05439103722443079,7.466027738084243,51.73446666666706,1.5906417741280128,3.6666666666666665,8.0,27.70582241187219,32.0,32.0,0.41641400148694485,0.47311888904928573,0.9949955844759473,0.9950250881615823,0.0,0.00866392209961357,decode_compute
p8tp4r2_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,2,16,1.0,True,1.0,1.0,1.0,196.6522356792084,214.83833841973777,25.206717060367367,29.33846640419974,3921.5254000000373,123.36795339826347,123.36795339826347,7.710497087391467,0.0750954868246555,0.8740273793675709,0.009965817485453438,0.0028912179255511385,0.011384170581857608,0.023577948042438946,0.20923159199907007,1.0,1.0,1.0,1.8993750664755495,4.0,7.0,0.016940560794262816,0.13130184944517734,0.8336674881524881,0.9097675653450858,0.0,0.44453768131793386,decode_compute
p8tp4r2_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,2,16,2.0,True,1.0,1.0,1.0,198.2210796196814,278.599567490337,24.93531627296588,27.716836580052576,3721.8154114927224,242.9880154026151,242.9880154026151,15.186750962663444,0.147737433990272,0.9716554290335043,0.019628875619242436,0.0043368268883267076,0.017031080592699675,0.12252402612072728,5.5418068777645475,1.0067511840080265,1.0,2.0,3.19227624803873,6.333333333333333,10.0,0.052220975920154844,0.24378482756079098,0.929045212449818,0.990438932201828,0.0,0.14033066624677734,decode_compute
p8tp4r2_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,8,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,2,2,16,4.0,True,1.0,1.0,0.9899999999999999,200.91360240858816,477.8884004899235,25.6375148293963,27.494634606299282,3879.8222832503834,470.28898158970105,465.53587069474185,29.095991918421365,0.28496551633678063,0.9907637924975284,0.037990531794042916,0.005782435851102277,0.02597578604987351,0.4223238634444533,10.340000000000146,1.0292018094562219,1.0,3.0,6.066881179084933,10.333333333333334,16.0,0.17041363926014663,0.4066555624754622,0.9806263495587841,0.9970125416369069,0.0,0.03341383131556153,decode_compute
