rank,config_id,max_sustainable_arrival_rate_rps,goodput_tokens_per_s_at_capacity,sla_success_ratio_at_capacity,ttft_p99_ms_at_capacity,tpot_p99_ms_at_capacity,max_kv_block_utilization_at_capacity,extrapolated_batch_ratio_at_capacity,estimated_bottleneck_at_capacity,capacity_censored,non_monotonic_points
1,tp4_kv22136_bt2048_seq16_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
2,tp4_kv22136_bt2048_seq32_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
3,tp4_kv22136_bt4096_seq16_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
4,tp4_kv22136_bt4096_seq32_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
5,tp4_kv22136_bt8192_seq16_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
6,tp4_kv22136_bt8192_seq32_chunked,1.0,123.51258583130311,1.0,369.6096663332364,38.54472497375337,0.02715034333212866,0.10328544170366427,compute,False,False
7,tp4_kv22136_bt2048_seq8_chunked,1.0,116.57277542765735,0.9433333333333334,1740.2223904366601,34.009075307086526,0.013868810986628117,0.09656028086739504,compute,False,False
8,tp4_kv22136_bt4096_seq8_chunked,1.0,116.57277542765735,0.9433333333333334,1740.2223904366601,34.009075307086526,0.013868810986628117,0.09656028086739504,compute,False,False
9,tp4_kv22136_bt8192_seq8_chunked,1.0,116.57277542765735,0.9433333333333334,1740.2223904366601,34.009075307086526,0.013868810986628117,0.09656028086739504,compute,False,False
