config_id,tp_size,num_gpu_blocks,block_size_tokens,max_num_batched_tokens,max_num_seqs,chunked_prefill,arrival_rate_rps,offered_input_tokens_per_s,offered_output_tokens_per_s,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,completed_requests_per_s,extrapolated_batch_ratio,max_kv_block_utilization,compute_time_share,communication_time_share,estimated_bottleneck
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,0.5,256.0,64.0,True,1.0,1.0,0.9933333333333333,189.7016375266709,680.0150413191022,27.35098412073545,32.20246144356991,4314.030489015277,62.26359314275936,61.8520267043055,0.4864343214278075,0.34682497847535737,0.01382363570654138,0.7820936246740343,0.10280529141017712,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,1.0,512.0,128.0,True,1.0,1.0,0.9433333333333334,193.0845218251079,1740.2223904366601,29.15698503936969,34.009075307086526,5882.5183942194635,123.51258583130311,116.57277542765735,0.9649420768070556,0.09656028086739504,0.013868810986628117,0.7609797772364346,0.12725801379101562,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,2.0,1024.0,256.0,False,1.0,1.0,0.085,7360.501697163567,12938.530332712187,34.02312834645639,34.025978548556516,17067.50112210213,220.2561650723878,18.63542367559789,1.7207512896280297,0.010664846970213792,0.014004336826888326,0.7335478761091254,0.1704098901887956,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,4.0,2048.0,512.0,False,1.0,1.0,0.04,30169.46069657725,58745.806726460956,33.88945196850394,33.89611364829403,62668.61317029065,226.5849785168513,9.063399140674052,1.7701951446629007,0.00412444019908886,0.014320563787495482,0.7314395356308995,0.1730785685977051,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,6.0,3072.0,768.0,False,1.0,1.0,0.03166666666666667,37945.74632399215,74474.62811444332,32.647758005249294,33.66237900262471,78376.18454593433,229.2458644258994,7.260257624215147,1.7909833158273392,0.001764155448258018,0.014456089627755691,0.7319858486744576,0.17206726757729277,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,8.0,4096.0,1024.0,False,1.0,1.0,0.021666666666666667,41924.853919999,82609.80174340503,32.22205196850378,33.613591732283474,86450.88642881178,229.9428084360452,4.981659187339967,1.796428190906603,0.0011432676758441908,0.014456089627755691,0.733247966088404,0.17073295491839904,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,10.0,5120.0,1280.0,False,1.0,1.0,0.013333333333333334,44233.73034612559,87346.34543922938,31.761877690288557,33.522620734908195,91114.25687347174,230.66905037468987,3.0760360355177436,1.8021019560522646,0.0006241548241639777,0.014456089627755691,0.7337395481835758,0.1700281793190005,compute
tp4_kv22136_bt2048_seq8_chunked,4,22136,16,2048,8,True,12.0,6144.0,1536.0,False,1.0,1.0,0.01,45920.73387654698,90868.70430600045,31.42648740157463,33.56732493438326,94546.7531764361,230.41108603338998,2.3041108603338993,1.8000866096358592,0.0005202805474320591,0.014456089627755691,0.734568649514082,0.16932659198217168,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
