request_id,gt_ttft,sim_ttft,ttft_error_pct,gt_tpot,sim_tpot,tpot_error_pct,gt_e2e,sim_e2e,e2e_error_pct
req_6,53.26,89.8417251394867,68.68517675457511,30.12,40.24588617886181,33.618480009501354,3788.17,5040.085725139489,33.04803441079701
req_44,61.27,36.249000735086156,-40.83727642388419,29.84,31.970095336787526,7.13838919834962,5849.83,6206.477400735079,6.096713934166957
req_27,41.98,50.12836741133651,19.410117702087938,29.99,26.446124255319408,-11.81685810163585,3191.25,6264.967567411397,96.31704089029054
req_10,57.55,57.704005265493834,0.26760254647061066,29.71,49.10238636363624,65.27225299103414,2702.18,4378.714005265483,62.04375745751517
req_11,52.23,68.08759186581665,30.361079582264317,30.03,48.38860227272716,61.13420670238815,5367.08,8584.481591865797,59.94696542376482
req_31,71.88,1047.179999999993,1356.8447412353826,29.93,34.096562962966146,13.921025602960732,6567.19,8412.03760000068,28.091887093272472
req_42,81.61,1056.0299999999988,1193.9958338438903,29.95,31.129047368422395,3.9367190932300353,4664.56,5787.645200000203,24.076980465471603
req_36,63.01,57.192065566938254,-9.233350949153696,29.52,32.575210810813196,10.349630117930882,2276.81,2467.7576655671146,8.386631540054491
req_43,46.05,323.0557439479162,601.5325601474837,30.24,28.858253333340343,-4.569268077578225,6427.6,6383.288943949388,-0.6893872681967145
req_23,51.31,45.73593932003132,-10.863497719681702,30.39,27.14366406926403,-10.682250512457948,7102.5,6315.922339320023,-11.074659073283735
req_50,68.47,1039.9599999999919,1418.8549729808556,29.93,31.156141714287056,4.096698009646029,5336.9,6492.284800000227,21.648987239787655
req_16,50.49,61.685029860953364,22.172766609137177,29.75,39.42554285714321,32.522833133254494,4869.69,6409.197429861011,31.61407460969819
req_46,46.49,346.4800000000105,645.2785545278779,29.72,28.242860176979896,-4.9701878298119215,3434.6,3537.9231999987387,3.008303732566785
req_12,53.56,78.22056745293958,46.04288172692228,30.08,47.8705206349205,59.144018068219765,5768.38,9125.748967452915,58.20297843507042
req_4,53.34,63.74034068613673,19.498201511317454,30.29,41.74882526315783,37.83039043630846,5838.95,7996.017140686125,36.942723275351305
req_5,101.66,80.68159063685152,-20.635854183699067,29.39,47.7719470588235,62.544903228388904,2129.88,3329.1739906368493,56.30805447428256
req_25,52.56,37.78955703496467,-28.102060435759757,29.88,27.80844571428634,-6.932912602790026,3219.33,2957.6763570350304,-8.127580675636532
req_47,53.82,940.679999999993,1647.8260869565088,29.48,30.933466666668,4.930348258710989,2382.55,3353.490400000097,40.75215210594097
req_38,55.29,1035.6399999999994,1773.1054440224264,29.91,32.12376374269201,7.401416725817496,5199.26,6528.803600000334,25.57178521559479
req_15,76.25,63.71939518610088,-16.43358008380212,30.17,42.27562626262684,40.12471416183902,6080.08,8434.293395186214,38.72010557733145
req_40,65.31,1017.7700000000041,1458.3677844128067,29.92,31.074073333334674,3.8571969697014445,3685.61,4746.658800000165,28.788960307796117
req_17,54.45,86.84502496519417,59.49499534470921,29.82,33.146354887218365,11.15477829382416,4050.3,4495.310224965237,10.987092930529501
req_18,48.62,49.13578746870553,1.0608545222244603,30.36,27.614601834863148,-9.04281345565498,6698.48,6069.118987468872,-9.395579482675592
req_34,50.81,201.35000000000582,296.2802597913911,29.98,27.522623880594534,-8.196718210158329,4098.07,3889.381599999673,-5.092358110045132
req_14,72.81,65.28399593548602,-10.336497822433708,30.1,43.90327619047668,45.85806043347734,7629.03,11128.90959593561,45.875813778889444
req_35,54.21,412.02999999999884,660.0627190555227,29.95,29.60474535519441,-1.1527700995178267,5564.42,5829.698400000576,4.767404329661957
req_28,63.32,48.70896607203758,-23.074911446560986,30.53,25.67531566265185,-15.901357148208811,2627.78,2179.760166072141,-17.0493661542389
req_2,217.3,36.65275278692218,-83.13264943077672,30.03,31.888514285714297,6.188858760287366,2980.04,2938.507552786923,-1.3936875751022444
req_24,54.37,41.82160568104882,-23.07962905821441,30.46,27.040136312849885,-11.227392275607734,5536.35,4882.006005681178,-11.819050354815397
req_13,59.31,56.93000618517544,-4.012803599434427,30.0,48.20948823529373,60.69829411764578,4169.38,6613.420406185123,58.618797187714314
req_30,57.61,55.3409268323303,-3.9386793398189597,29.89,33.89928000000313,13.413449314162362,3524.76,3953.7581268326903,12.170988289491769
req_48,47.99,915.4100000000035,1807.5015628255958,29.32,30.933466666668,5.50295588904502,2364.09,3328.2204000001075,40.782305242190745
req_41,53.3,319.0199999999895,498.536585365834,30.14,28.197495890416487,-6.444937324431033,4483.98,4435.854400000797,-1.0732786497531808
req_8,48.98,71.46137089911099,45.899083093325835,30.04,43.80658113207533,45.82750043966488,4855.32,7036.707770899088,44.92778582872166
req_39,63.06,55.170110494829714,-12.511718213083235,29.71,32.52851327433855,9.486749492893132,3449.76,3730.892110495086,8.14932373542176
req_3,394.15,28.30360152858907,-92.8190786430067,30.43,40.796293048128334,34.06603039148319,6115.3,7657.210401528588,25.213978080038384
req_37,64.66,460.8000000000029,612.6507887411119,29.8,28.78967938931034,-3.390337619763962,3997.85,4232.247999999658,5.863101417003082
req_1,516.61,147.09,-71.52784498945046,31.22,36.866671604938254,18.08671237968692,4918.2,6119.490799999998,24.42541580252934
req_26,46.2,918.1600000000035,1887.3593073593145,30.3,29.19394509803975,-3.6503462110899303,6256.89,6873.724800000113,9.858488801946534
req_29,46.94,188.13000000000466,300.78824030678453,30.05,30.108075621891672,0.1932633008042301,6117.46,6239.853200000231,2.0007192527655357
req_19,43.68,53.18067125872767,21.750621013570676,29.93,26.68021647058851,-10.857946974311698,3754.56,6856.635871258797,82.62155542217457
req_49,45.89,271.97000000000116,492.6563521464397,29.59,28.001471052635008,-5.368465519989835,3359.68,4528.193600000523,34.780502905054135
req_45,50.38,40.41091598910862,-19.787780887041258,29.72,29.236571764711783,-1.6266091362322193,5133.06,5010.628115990112,-2.3851637037145204
req_22,56.55,39.354133767927124,-30.408251515601897,30.04,32.171052229299214,7.0940486993981855,4803.0,5090.209333767903,5.979790417820184
req_33,51.5,52.9351807848725,2.7867588055776706,29.9,31.39113600000157,4.987076923082178,3070.93,3192.0487807850295,3.944042384067031
req_20,63.26,28.07209736740333,-55.62425329212246,29.71,25.953503296702873,-12.643879849535939,2797.01,2389.840897367365,-14.557298780935184
req_9,52.44,49.445662897813236,-5.710024985100614,30.49,47.52952190476173,55.885608083836445,6485.18,10030.645262897777,54.670267639414426
req_7,48.26,81.63334526553263,69.15322268034113,29.75,39.28635609756101,32.05497847919668,2517.43,3303.1145452655355,31.209787174441228
req_21,54.57,482.48999999999796,784.1671247938391,30.18,31.514161904761835,4.420682255672085,5155.51,5776.869199999986,12.052332358971007
req_32,52.02,55.17314894696756,6.061416660837283,29.91,35.95843503650076,20.222116471082444,4179.46,4981.478748947571,19.189530440477263
