config_id,tp_size,num_gpu_blocks,block_size_tokens,max_num_batched_tokens,max_num_seqs,chunked_prefill,data_parallel,arrival_rate_rps,total_gpus,offered_input_tokens_per_s,offered_output_tokens_per_s,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,goodput_tokens_per_s_per_gpu,completed_requests_per_s,extrapolated_batch_ratio,max_kv_block_utilization,compute_time_share,communication_time_share,estimated_bottleneck
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,0.5,4,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,15.56589828568984,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,1.0,4,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,30.87814645782578,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,1.5,4,768.0,192.0,True,1.0,1.0,0.9666666666666667,195.77695975087286,896.0761290713291,32.612428608923885,45.18093163517039,6441.997927209122,183.73507248849947,177.60055212833603,44.40013803208401,1.435430253816402,0.030951537858122168,0.027963498373689916,0.7452511558853631,0.15289668882485338,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,1.75,4,896.0,224.0,True,1.0,1.0,0.9316666666666666,197.26468720378367,1622.970934545611,35.26952322834646,46.224154131233554,6886.493350830738,213.4115902666549,198.83108644855778,49.707771612139446,1.6672780489582415,0.01586302083639527,0.028099024213950125,0.736885273205594,0.16741467199525142,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,1.875,4,960.0,240.0,True,1.0,1.0,0.9049999999999999,199.19004208678538,2100.587141924083,36.76738333333342,46.74426301049865,7311.8541225892395,228.14194905091108,206.49151297985279,51.622878244963196,1.7823589769602428,0.011277134687840577,0.028008673653776652,0.7325268462350829,0.1750201394101735,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,1.9375,4,992.0,248.0,False,1.0,1.0,0.89,199.73560868320965,2318.7748625644704,37.30541469816297,47.16067874803155,7585.8738857090175,235.4890422131285,209.65778028196073,52.41444507049018,1.8397581422900664,0.008636472939517033,0.028008673653776652,0.7303662273192084,0.1788530181561434,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,2.0,4,1024.0,256.0,False,1.0,1.0,0.8566666666666668,201.5024267460723,2519.6566370052187,38.44412454068269,47.491271469816716,8057.369836879564,242.77416049711738,208.13103448344495,52.03275862086124,1.8966731288837295,0.00814086485688672,0.028099024213950125,0.7282683227198418,0.18265026702204423,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,4.0,4,2048.0,512.0,False,1.0,1.0,0.08166666666666667,13324.906496087855,25567.96002125775,47.379402493438384,47.4868401574804,30293.067371547364,320.1902411392255,26.131042439123032,6.532760609780758,2.5014862589001994,0.007858159271517914,0.028189374774123598,0.7044555533025672,0.22465693047356036,compute
tp4_dp1_kv22136_bt4096_seq16_chunked,4,22136,16,4096,16,True,1,8.0,4,4096.0,1024.0,False,1.0,1.0,0.028333333333333335,25285.097361761746,49416.87230573875,44.712445669291405,46.81956036745419,53279.660695478844,327.52995312704456,9.276026286657366,2.3190065716643415,2.5588277588050357,0.002194057506094339,0.028912179255511383,0.705695226016139,0.22304141145751208,compute
tp4_dp1_kv22136_bt4096_seq32_chunked,4,22136,16,4096,32,True,1,0.5,4,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,15.56589828568984,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
