rank,config_id,max_sustainable_arrival_rate_rps,goodput_tokens_per_s_at_capacity,total_gpus,capacity_rps_per_gpu,goodput_tokens_per_s_per_gpu_at_capacity,sla_success_ratio_at_capacity,ttft_p99_ms_at_capacity,tpot_p99_ms_at_capacity,max_kv_block_utilization_at_capacity,extrapolated_batch_ratio_at_capacity,estimated_bottleneck_at_capacity,capacity_lower_bound_rps,capacity_upper_bound_rps,capacity_interval_width_rps,capacity_censored,non_monotonic_points
1,tp4_dp4_kv22136_bt4096_seq16_chunked,8.0,883.8122401902456,16,0.5,55.23826501189035,1.0,287.30255690332234,42.52510572440943,0.025478857968919407,0.03805842771015958,compute,8.0,,,True,False
2,tp4_dp4_kv22136_bt4096_seq32_chunked,8.0,883.8122401902456,16,0.5,55.23826501189035,1.0,287.30255690332234,42.52510572440943,0.025478857968919407,0.03805842771015958,compute,8.0,,,True,False
3,tp4_dp4_kv22136_bt4096_seq8_chunked,6.25,656.7395514962818,16,0.390625,41.046221968517614,0.9249999999999999,1155.607538544418,34.046294123359594,0.014004336826888326,0.03838942416207567,compute,6.25,6.5,0.25,False,False
4,tp4_dp2_kv22136_bt4096_seq32_chunked,4.5,488.5745357075068,8,0.5625,61.07181696343835,0.9316666666666666,441.64416268230207,53.00487538582673,0.040748102638236354,0.014259294257716437,compute,4.5,4.75,0.25,False,False
5,tp4_dp2_kv22136_bt4096_seq16_chunked,4.5,478.9439035323572,8,0.5625,59.86798794154465,0.9133333333333332,1484.9703993175265,47.39941729133843,0.02805384893386339,0.013837286994669303,compute,4.5,4.75,0.25,False,False
6,tp4_dp2_kv22136_bt4096_seq8_chunked,2.625,293.0649482878205,8,0.328125,36.633118535977566,0.9283333333333333,1724.1274450356843,34.045922490813616,0.014049512106975063,0.019050849024347994,compute,2.625,2.75,0.125,False,False
7,tp4_dp1_kv22136_bt4096_seq32_chunked,1.9375,213.98480536832128,4,0.484375,53.49620134208032,0.9083333333333333,637.1118882429955,56.7731717769029,0.0535327069027828,0.009309086285876232,compute,1.9375,2.0,0.0625,False,False
8,tp4_dp1_kv22136_bt4096_seq16_chunked,1.875,206.49151297985279,4,0.46875,51.622878244963196,0.9049999999999999,2100.587141924083,46.74426301049865,0.028008673653776652,0.011277134687840577,compute,1.875,1.9375,0.0625,False,False
9,tp4_dp1_kv22136_bt4096_seq8_chunked,1.0625,120.650693823211,4,0.265625,30.16267345580275,0.9199999999999999,1970.8256385085933,33.987552566929075,0.013913986266714853,0.08090465661315792,compute,1.0625,1.125,0.0625,False,False
