scenario,request_id,arrival_time_ms,prompt_len,output_len,client_ttft_ms,client_tpot_ms,client_e2e_ms,prefill_service_ms,post_prefill_to_first_byte_ms,decode_headers_ms,client_minus_proxy_first_byte_ms,absolute_prefill_complete_ms,absolute_decode_first_byte_ms,proxy_decode_duration_ms,internal_request_id,readiness_cohort_id,readiness_cohort_size
medium,req_10,1800.0,1024,32,1466.0955723375082,92.37257006668275,4330.459770746529,651.317,808.72,6.141,5.796572337508223,2451.5789999999997,3260.299,2862.621,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_480daf492e8d43b9ae66d94ceb54b0f1,medium_cohort_6,4
medium,req_11,2000.0,512,128,1269.9849344789982,47.19944760995352,7266.01283904165,1229.631,31.314000000000078,11.962,8.354934478998075,3230.316,3261.63,5996.005,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_23043899738b4ca78bfefa5aa88da613,medium_cohort_6,4
medium,req_12,2200.0,2048,128,2103.303147479892,39.54517826672614,7125.913485884666,1026.328,1067.6339999999998,9.86,8.969147479891944,3226.7,4294.334,5025.925,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_935d27ae58c643caa3d67d13825fa77c,medium_cohort_7,6
medium,req_13,2400.0,256,64,1905.5428290739655,46.464062591512054,4834.289158694446,830.624,1066.562,6.462,8.078829073965608,3230.902,4297.464,2930.0609999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_c750c59dc5d7470ab39cfe3d0b2255cd,medium_cohort_7,6
medium,req_14,2600.0,1536,32,1702.5301875546575,61.34724193402836,3605.9511117637157,1663.648,31.184999999999945,8.18,7.373187554657534,4263.972,4295.157,1903.7860000000003,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_790b6488c44d41468fddd261cf3b1e0f,medium_cohort_7,6
medium,req_15,2800.0,768,128,1505.2836360409856,39.54343534419387,6528.102549724281,1465.492,31.682000000000016,7.322,7.851636040985568,4265.75,4297.432,5026.051,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_f995f3f22f7e4cae8a444da2355c3a45,medium_cohort_7,6
medium,req_16,3000.0,384,32,1306.0538852587342,61.38923845344013,3211.2169973552227,1265.9099999999999,32.077,6.31,7.808885258734335,4266.168,4298.245,1903.3780000000002,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_2bc7f7feac7a45cba64b6150eca36ef5,medium_cohort_7,6
medium,req_17,3200.0,1024,64,1103.3210130408406,46.47293743041773,4033.1981498748064,1067.2389999999998,30.493000000000166,7.593,5.324013040840555,4267.504,4297.997,2930.108,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_bed04908917d4c7aa371593abe52adc2,medium_cohort_7,6
medium,req_18,3400.0,128,64,1671.9976281747222,35.35495040613034,3900.295292958617,1628.71,34.378999999999905,6.539,8.62862817472228,5028.99,5063.369,2229.0339999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_86526e563fb84a948ae413d2812fcb58,medium_cohort_8,3
medium,req_19,3600.0,2048,32,1467.50948112458,38.73566312775497,2670.8635557442904,1424.798,34.60200000000009,9.479,7.626481124579868,5025.281,5059.883,1203.4730000000002,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_e208f327e4b84712aca57281c6262285,medium_cohort_8,3
medium,req_20,3800.0,512,32,1267.323138192296,38.76392468209228,2469.5187462493777,1227.305,33.725999999999885,6.649,6.0301381922961355,5027.567,5061.293,1203.974,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_ac36ace1b3dc4e38820f0e74f8b629b0,medium_cohort_8,3
saturated,req_1,0.0,2048,128,638.6826308444142,65.87884883124997,9005.737625993788,599.976,33.072,10.21,4.964630844414273,600.646,633.718,8365.485999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_23c9c954cac5496a9226d480ee75eee7,saturated_cohort_1,1
saturated,req_2,50.0,128,32,3375.090751796961,81.79556103723664,5911.6401094943285,1676.1670000000001,1691.8909999999998,6.653,6.758751796960951,1726.441,3418.332,2538.6430000000005,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_cc820a652e954080a469fb1eaa9d14a7,saturated_cohort_2,13
saturated,req_3,100.0,1024,64,3323.395239189267,56.54902089505442,6887.846718542278,1624.545,1692.241,7.206,6.350239189267086,1724.804,3417.045,3564.6189999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_c4cbe6d88ce0433a8d79170f4b8fe0d8,saturated_cohort_2,13
saturated,req_4,150.0,512,128,3269.9990328401327,44.51098584195995,8923.88675082475,1573.3310000000001,1690.8629999999998,7.342,5.531032840132866,1723.605,3414.468,5656.177000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_dabf7879f56745b7b64f2f551d5c9035,saturated_cohort_2,13
saturated,req_5,200.0,1536,32,3222.760600037873,81.843008377379,5762.369719333947,1522.747,1692.072,8.603,7.305600037872864,1723.383,3415.455,2538.428,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_af88c6da15284d07930448aa828e6c78,saturated_cohort_2,13
saturated,req_6,250.0,256,64,3174.0143662318587,56.5442806405444,6738.475386053324,1473.54,1691.9279999999999,6.613,8.097366231858814,1723.989,3415.917,3564.6479999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_8cf622d5f5264076a79a187f2489193e,saturated_cohort_2,13
saturated,req_7,300.0,768,128,3122.6576808840036,44.50847768026778,8776.08647197485,2137.896,976.8240000000001,6.898,7.674680884003465,2438.159,3414.983,5655.272999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_5a6c01c8628948979cee0b7a1a029ec9,saturated_cohort_2,13
saturated,req_8,350.0,384,32,3071.8231089413166,81.83274051595119,5610.077885910869,2089.3579999999997,976.1610000000001,6.254,6.040108941316703,2439.622,3415.783,2538.9190000000003,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1f08491569e34362a8c730cc140daebc,saturated_cohort_2,13
saturated,req_9,400.0,2048,64,3020.0703581795096,56.53608917066502,6584.801012650132,2036.75,976.229,9.322,6.536358179509534,2437.3050000000003,3413.534,3564.6609999999996,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_e18e1b21482a4883bfc377f91e54741e,saturated_cohort_2,13
saturated,req_10,450.0,128,128,2973.78171980381,44.5093662280032,8628.198253922164,2930.3070000000002,36.04999999999973,6.552,7.1637198038101815,3380.568,3416.618,5655.885,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1defadf130b04ff69adc82bdebb66886,saturated_cohort_2,13
saturated,req_11,500.0,512,32,2922.4579771980643,81.90514048140857,5463.24304305017,2878.589,36.22699999999986,6.893,7.2529771980644,3378.978,3415.205,2538.977,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b5dc797f62f541259a719a24a9114e8a,saturated_cohort_2,13
saturated,req_12,550.0,1024,128,2873.3052415773273,44.5054597844641,8526.70174650848,2829.0519999999997,37.202000000000226,7.142,6.796241577327237,3379.307,3416.509,5655.245999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_fb1994a18c18468691e6496b92f039a9,saturated_cohort_2,13
saturated,req_13,600.0,256,128,2825.8606120944023,44.507243846521135,8478.904153220356,2780.66,37.06399999999985,5.24,7.856612094402408,3380.94,3418.004,5655.124000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_a14dbdd732284edc874230ffa12ded78,saturated_cohort_2,13
saturated,req_14,650.0,1536,64,2809.3290720134974,56.46054417131439,6366.77486076951,2730.58,71.89600000000019,7.643,6.596072013497178,3380.837,3452.733,3558.63,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_5aa1768dca5742378a58d47e3fda8067,saturated_cohort_2,13
saturated,req_15,700.0,384,128,4109.034596011043,34.07298994257929,8436.907508410513,3056.891,1043.6489999999994,6.457,8.219596011042995,3757.166,4800.815,4329.561000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_6151a4a89061435db22942bf781de402,saturated_cohort_3,6
saturated,req_16,750.0,768,32,4058.511127717793,39.309406713131935,5278.667422011495,3008.4809999999998,1043.6260000000002,7.366,6.149127717792908,3758.736,4802.362,1219.3180000000002,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_117322962148417ebce9b7ceb6da2352,saturated_cohort_3,6
saturated,req_17,800.0,128,64,4008.6091784760356,35.56304889184142,6250.0563217327,2957.858,1042.931,6.53,7.202178476035442,3758.476,4801.407,2241.9219999999996,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_80cec2808dc74814a92fa61344805db3,saturated_cohort_3,6
saturated,req_18,850.0,2048,32,3957.1392396464944,39.286676463821244,5177.8210029006,3916.233,33.82499999999982,8.94,6.5082396464945305,4766.8060000000005,4800.630999999999,1219.502,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_e33f5260aeb7402a9019e24cf064fb09,saturated_cohort_3,6
saturated,req_19,900.0,1024,32,3906.4746340736747,39.27180843968545,5127.161024138331,3866.536,33.95199999999977,7.53,5.707634073674853,4766.8150000000005,4800.767,1219.5,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_e47180271666491ebf06280e2f796bad,saturated_cohort_3,6
saturated,req_20,950.0,512,64,3859.9058091640472,35.54885815237723,6100.822169333696,3818.5660000000003,34.36399999999958,6.599,6.714809164047438,4768.827,4803.191,2241.1810000000005,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_8b2a92e1caab4871885034bea376b446,saturated_cohort_3,6
